PUBCHEM_SID	PUBCHEM_CID
144203552	12850184
144203553	89753
144203554	9403
144203555	13218779
144203556	142766
144203557	16043
144203558	16043
144203559	2724411
144203560	2724372
144203561	637566
144203562	994
144203563	4766
144203564	79472
144203565	3080
144203566	197883
144203567	51
144203568	66064
144203569	66435
144203570	8969
144203571	10664
144203572	8739
144203573	4904
144203574	65463
144203575	439501
144203576	65708
144203577	60196259
144203578	5338
144203579	3246155
144203580	5920
144203581	54724367
144203582	7329
144203583	667466
144203584	24403
144203585	6419941
144203586	6603108
144203587	6419978
144203588	5459110
144203589	656597
144203590	3000668
144203591	22576
144203592	2333
144203593	614
144203594	94280
144203595	23664709
144203596	546
144203597	16678045
144203598	14676
144203599	441358
144203600	71822
144203601	443939
144203602	298391
144203603	4078
144203604	2348
144203605	23667629
144203606	122820
144203607	3151
144203608	65758
144203609	5694
144203610	4614
144203611	71203
144203612	3061720
144203613	35370
144203614	2266
144203615	2170
144203616	1727
144203617	2081
144203618	1989
144203619	2130
144203620	169371
144203621	5283389
144203622	119
144203623	1967
144203624	1935
144203625	2265
144203626	2022
144203627	2244
144203628	2141
144203629	1986
144203630	2230
144203631	16231
144203632	564
144203633	2094
144203634	2157
144203635	2119
144203636	2123
144203637	2196
144203638	4768
144203639	2471
144203640	2351
144203641	2284
144203642	2369
144203643	2477
144203644	2717
144203645	1687
144203646	2765
144203647	2708
144203648	2578
144203649	2754
144203650	6241
144203651	22420
144203652	72276
144203653	2727
144203654	4211
144203655	2554
144203656	2733
144203657	2756
144203658	2720
144203659	5309446
144203660	1547484
144203661	1355
144203662	2812
144203663	2913
144203664	2818
144203665	4652
144203666	64927
144203667	2796
144203668	2801
144203669	2803
144203670	2753
144203671	2726
144203672	2762
144203673	2576
144203674	19379
144203675	2910
144203676	104920
144203677	36811
144203678	3100
144203679	10649
144203680	65327
144203681	6419921
144203682	3053
144203683	3019
144203684	3108
144203685	4943
144203686	9363
144203687	9363
144203688	53708
144203689	8307
144203690	72016
144203691	3194
144203692	6207
144203693	3396
144203694	3433
144203695	3386
144203696	3331
144203697	3372
144203698	3339
144203699	3373
144203700	3442
144203701	3385
144203702	3356
144203703	3341
144203704	3325
144203705	3397
144203706	3333
144203707	3478
144203708	3446
144203709	3488
144203710	71401
144203711	3454
144203712	5280961
144203713	3559
144203714	9351
144203715	5702293
144203716	3639
144203717	774
144203718	681
144203719	3657
144203720	785
144203721	3672
144203722	55918
144203723	3779
144203724	54459
144203725	3696
144203726	133621
144203727	3827
144203728	3932
144203729	3965
144203730	3878
144203731	3955
144203732	39562
144203733	3899
144203734	3676
144203735	3883
144203736	3957
144203737	4170
144203738	65710
144203739	4168
144203740	4122
144203741	4810
144203742	4184
144203743	5353788
144203744	4201
144203745	6420039
144203746	896
144203747	119442
144203748	51082
144203749	4032
144203750	4054
144203751	4011
144203752	4507
144203753	4497
144203754	4500
144203755	4567
144203756	4418
144203757	4488
144203758	4495
144203759	4472
144203760	4477
144203761	71398
144203762	4474
144203763	4485
144203764	4493
144203765	39214
144203766	4581
144203767	4628
144203768	4636
144203769	4626
144203770	4615
144203771	4847
144203772	4828
144203773	4671
144203774	4740
144203775	16362
144203776	40632
144203777	6084
144203778	4927
144203779	4932
144203780	4843
144203781	4992
144203782	54676228
144203783	1676
144203784	4748
144203785	5917
144203786	5887
144203787	61100
144203788	1046
144203789	4909
144203790	4848
144203791	24351
144203792	9373
144203793	4781
144203794	4781
144203795	6603149
144203796	4850
144203797	4913
144203798	4938
144203799	5795
144203800	5702242
144203801	3001055
144203802	5074
144203803	5070
144203804	5073
144203805	68712
144203806	54900
144203807	5095
144203808	445154
144203809	56959
144203810	37542
144203811	5268
144203812	5253
144203813	5335
144203814	131746
144203815	72124
144203816	5233
144203817	2083
144203818	8515
144203819	5154
144203820	5265
144203821	1548887
144203822	3448
144203823	656665
144203824	24871267
144203825	5387
144203826	5426
144203827	5702214
144203828	1123
144203829	5454
144203830	5505
144203831	3117
144203832	5503
144203833	5610
144203834	5546
144203835	5429
144203836	864
144203837	62935
144203838	2052
144203839	2061
144203840	1359
144203841	8695
144203842	5578
144203843	54840
144203844	671690
144203845	5452
144203846	5405
144203847	5405
144203848	5593
144203849	5639
144203850	2435
144203851	2520
144203852	5665
144203853	2998
144203854	5707
144203855	155774
144203856	5282386
144203857	5722
144203858	5723
144203859	6100
144203860	31195
144203861	23663954
144203862	71399
144203863	23681233
144203864	60196260
144203865	11953895
144203866	54670067
144203867	5359226
144203868	5803
144203869	6419941
144203870	5284486
144203871	5883
144203872	5892
144203873	3440
144203874	4174
144203875	5905
144203876	9552079
144203877	6708701
144203878	45105092
144203879	4911
144203880	5324
144203881	5995
144203882	5342
144203883	4993
144203884	6009
144203885	4055
144203886	3278
144203887	3759
144203888	938
144203889	6047
144203890	6048
144203891	60196261
144203892	1349907
144203893	2206
144203894	6093
144203895	4044
144203896	2148
144203897	6103
144203898	4754
144203899	6114
144203900	6126
144203901	6135
144203902	5333
144203903	2310
144203904	54682468
144203905	54686764
144203906	54704426
144203907	6166
144203908	54676038
144203909	5311498
144203910	6231
144203911	5215
144203912	6234
144203913	3775
144203914	5340
144203915	5775
144203916	2315
144203917	6307
144203918	6461
144203919	4994
144203920	2732
144203921	3291
144203922	2955
144203923	6634
144203924	5330
144203925	3828
144203926	4760
144203927	6741
144203928	192197
144203929	667476
144203930	6769
144203931	4806
144203932	3025
144203933	6839
144203934	3292
144203935	4075
144203936	5280567
144203937	644020
144203938	2343
144203939	3293
144203940	3516
144203941	7172
144203942	2337
144203943	2482
144203944	7184
144203945	3735
144203946	204
144203947	7638
144203948	1983
144203949	7699
144203950	15723
144203951	5315
144203952	3038
144203953	5104
144203954	8478
144203955	8480
144203956	5323
144203957	2145
144203958	4621
144203959	5576
144203960	5344
144203961	5319
144203962	5325
144203963	10133
144203964	275196
144203965	4641
144203966	8520
144203967	2788
144203968	8569
144203969	4632
144203970	66063
144203971	65464
144203972	5560
144203973	3647
144203974	67313
144203975	3607
144203976	5328
144203977	5336
144203978	5430
144203979	2480
144203980	9051
144203981	54676537
144203982	6433169
144203983	4114
144203984	67533
144203985	3503
144203986	21138
144203987	9458
144203988	224246
144203989	9642
144203990	9703
144203991	9878
144203992	4173
144203993	5284613
144203994	91453
144203995	3182
144203996	221071
144203997	2883
144203998	1892
144203999	10621
144204000	5282318
144204001	10648
144204002	34458
144204003	3371
144204004	5281417
144204005	4107
144204006	10766
144204007	102426
144204008	164652
144204009	2761171
144204010	68304
144204011	10830
144204012	3168
144204013	11078
144204014	11102
144204015	4100
144204016	68385
144204017	11289
144204018	11368
144204019	11391
144204020	11683
144204021	9915886
144204022	4977
144204023	2391
144204024	6433208
144204025	12456
144204026	2804
144204027	9570076
144204028	73957
144204029	5326
144204030	3081
144204031	5329
144204032	2904
144204033	5280723
144204034	54680694
144204035	13266
144204036	14709
144204037	2797
144204038	2724
144204039	6420022
144204040	101925
144204041	441328
144204042	13764
144204043	5702159
144204044	54688689
144204045	14051
144204046	4165
144204047	122824
144204048	64713
144204049	14219
144204050	236702
144204051	5526
144204052	71611
144204053	5332
144204054	60196262
144204055	16129666
144204056	16051954
144204057	60196264
144204058	91505
144204059	207841
144204060	15209
144204061	64722
144204062	62413
144204063	15443
144204064	92163
144204065	2723716
144204066	3366
144204067	2794
144204068	16363
144204069	16490
144204070	4487
144204071	443935
144204072	5510
144204073	2466
144204074	17134
144204075	17275
144204076	17276
144204077	247839
144204078	17683
144204079	9883104
144204080	18340
144204081	443943
144204082	3634
144204083	76621
144204084	3926
144204085	19003
144204086	19004
144204087	6420038
144204088	441345
144204089	92968
144204090	3690
144204091	19675
144204092	5585
144204093	54685047
144204094	2446
144204095	6419888
144204096	210320
144204097	6420071
144204098	3394
144204099	21743
144204100	3332
144204101	22162
144204102	441333
144204103	6419942
144204104	6420040
144204105	3418
144204106	6419978
144204107	71172
144204108	4922
144204109	20056627
144204110	5282484
144204111	5094
144204112	5284447
144204113	5284619
144204114	14985
144204115	5284629
144204116	2448
144204117	54685920
144204118	5282367
144204119	83201
144204120	26098
144204121	610479
144204122	26596
144204123	26758
144204124	26964
144204125	5281069
144204126	161104
144204127	21158559
144204128	27200
144204129	5531
144204130	9883259
144204131	27648
144204132	5702161
144204133	28061
144204134	5284579
144204135	3242
144204136	29327
144204137	5479
144204138	4855
144204139	3074
144204140	6473881
144204141	3475
144204142	16051951
144204143	64740
144204144	4612
144204145	3825
144204146	68552
144204147	31072
144204148	2320
144204149	3059
144204150	3276
144204151	3326
144204152	4189
144204153	441334
144204154	31728
144204155	31772
144204156	4912
144204157	155290
144204158	108013
144204159	24733
144204160	32169
144204161	446541
144204162	32681
144204163	441374
144204164	3463
144204165	33624
144204166	5362
144204167	3760
144204168	5284409
144204169	35375
144204170	443944
144204171	4030
144204172	62884
144204173	34632
144204174	71412
144204175	47471
144204176	115162
144204177	36294
144204178	5468
144204179	36339
144204180	91610
144204181	5284558
144204182	33478
144204183	5282493
144204184	441307
144204185	54677972
144204186	5282169
144204187	6420013
144204188	37392
144204189	3335
144204190	3081545
144204191	441398
144204192	38010
144204193	20055558
144204194	5359
144204195	3308
144204196	39042
144204197	39147
144204198	4409
144204199	443955
144204200	3334
144204201	16051942
144204202	47965
144204203	60196265
144204204	40000
144204205	40127
144204206	4831
144204207	20055515
144204208	20056828
144204209	5472
144204210	2082
144204211	4891
144204212	4849
144204213	41781
144204214	60196266
144204215	3742
144204216	65483
144204217	54677971
144204218	5284373
144204219	65492
144204220	43231
144204221	43507
144204222	65495
144204223	5092
144204224	170344
144204225	44383
144204226	71486
144204227	456201
144204228	5281098
144204229	3085326
144204230	441383
144204231	2247
144204232	53025
144204233	4539
144204234	114811
144204235	3736
144204236	5353
144204237	4594
144204238	6714002
144204239	3229
144204240	104838
144204241	3784
144204242	4513
144204243	54117
144204244	6438130
144204245	54362
144204246	54384
144204247	54454
144204248	444037
144204249	54580
144204250	2769
144204251	60561
144204252	71764
144204253	54765
144204254	4583
144204255	55182
144204256	441336
144204257	6420010
144204258	55397
144204259	5362129
144204260	3741
144204261	71771
144204262	3724
144204263	62999
144204264	3476
144204265	74989
144204266	441130
144204267	68624
144204268	57363
144204269	200103
144204270	3902
144204271	6918132
144204272	65981
144204273	68844
144204274	5284630
144204275	312915
144204276	82153
144204277	636374
144204278	3114
144204279	441080
144204280	16051987
144204281	20848883
144204282	26534
144204283	108173
144204284	20298
144204285	6604155
144204286	657381
144204287	6202
144204288	6604472
144204289	8505
144204290	23675317
144204291	8732
144204292	62881
144204293	8813
144204294	201412
144204295	23675320
144204296	23672955
144204297	44420324
144204298	23663939
144204299	15432
144204300	264891
144204301	6604492
144204302	92178
144204303	17506
144204304	54680693
144204305	19518
144204306	6604495
144204307	470375
144204308	21718
144204309	6604497
144204310	522325
144204311	20835958
144204312	5284452
144204313	2725002
144204314	22529
144204315	23663959
144204316	64646
144204317	60196267
144204318	23704143
144204319	23702
144204320	636402
144204321	5018304
144204322	23667299
144204323	23675312
144204324	60196268
144204325	23681059
144204326	3702
144204327	6419962
144204328	23672568
144204329	60196269
144204330	23684677
144204331	6420020
144204332	38911
144204333	60196270
144204334	6604087
144204335	11954258
144204336	6604557
144204337	6420033
144204338	441308
144204339	23666711
144204340	6604561
144204341	47320
144204342	23672566
144204343	23677829
144204344	441242
144204345	54676538
144204346	6604122
144204347	62978
144204348	6536864
144204349	5362118
144204350	175533
144204351	23671691
144204352	9571075
144204353	9940086
144204354	969516
144204355	10114
144204356	5281855
144204357	442291
144204358	9651
144204359	28693
144204360	8226
144204361	34040
144204362	643606
144204363	444795
144204364	493570
144204365	3840
144204366	656743
144204367	174174
144204368	1548943
144204369	445354
144204370	6758
144204371	47812
144204372	10531
144204373	6271
144204374	3728
144204375	163751
144204376	941361
144204377	5258
144204378	2153
144204379	3969
144204380	8691
144204381	51634
144204382	71188
144204383	2406
144204384	5284344
144204385	20279
144204386	4421
144204387	5282230
144204388	5324346
144204389	4764
144204390	443955
144204391	3374
144204392	8593
144204393	3169
144204394	5853
144204395	4622
144204396	71651
144204397	5320
144204398	5327
144204399	3295
144204400	157921
144204401	2378
144204402	5748
144204403	68589
144204404	5282494
144204405	55283
144204406	3627
144204407	26248
144204408	3115
144204409	5354
144204410	53001
144204411	27368
144204412	1775
144204413	298107
144204414	27503
144204415	9687
144204416	3822
144204417	9912
144204418	440707
144204419	222757
144204420	6215
144204421	5284616
144204422	657201
144204423	5388962
144204424	5284594
144204425	10607
144204426	71414
144204427	5952
144204428	12035
144204429	16574
144204430	5753
144204431	51039
144204432	9324
144204433	657298
144204434	5754
144204435	104845
144204436	6436
144204437	18283
144204438	5910
144204439	53232
144204440	5311067
144204441	44093
144204442	60961
144204443	5790
144204444	6128
144204445	35370
144204446	9681
144204447	30323
144204448	5284443
144204449	39186
144204450	5852
144204451	101616
144204452	10219
144204453	5310987
144204454	71080
144204455	83887
144204456	10255
144204457	2264
144204458	31101
144204459	2755
144204460	2562
144204461	34359
144204462	5475158
144204463	51173
144204464	2120
144204465	68186
144204466	3689
144204467	4106
144204468	38852
144204469	68600
144204470	5282443
144204471	39836
144204472	1979
144204473	65854
144204474	2829432
144204475	108092
144204476	123924
144204477	2377
144204478	4930
144204479	4883
144204480	6321418
144204481	5278
144204482	10783
144204483	3517
144204484	688272
144204485	54477
144204486	5311093
144204487	5311429
144204488	127404
144204489	2733525
144204490	104741
144204491	47936
144204492	688561
144204493	107867
144204494	4302960
144204495	126941
144204496	68736
144204497	45073437
144204498	6167
144204499	93504
144204500	45356872
144204501	60196271
144204502	54676478
144204503	55245
144204504	53388
144204505	55329
144204506	219050
144204507	60510
144204508	9952220
144204509	51576
144204510	9928181
144204511	24978536
144204512	3033769
144204513	56971
144204514	6918029
144204515	127150
144204516	4205
144204517	68601
144204518	6005
144204519	47528
144204520	10466908
144204521	71827
144204522	4235
144204523	30627
144204524	2999413
144204525	16124
144204526	2000
144204527	7619
144204528	65768
144204529	68872
144204530	69588
144204531	62960
144204532	2843496
144204533	4463
144204534	34312
